2026-06-18 13:33:26,325 [INFO] go2_survey.battery.telemetry: SOC  97% | 31.45V | -3.5A (discharging) | batt 24°C | mcu 27°C | cycles 4
2026-06-18 13:33:36,332 [INFO] go2_survey.battery.telemetry: SOC  96% | 30.90V | -7.7A (discharging) | batt 24°C | mcu 27°C | cycles 4
2026-06-18 13:33:46,335 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.23V | -6.5A (discharging) | batt 24°C | mcu 27°C | cycles 4
2026-06-18 13:33:56,337 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.32V | -6.8A (discharging) | batt 24°C | mcu 27°C | cycles 4
2026-06-18 13:34:06,340 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.25V | -6.0A (discharging) | batt 24°C | mcu 27°C | cycles 4
2026-06-18 13:34:16,343 [INFO] go2_survey.battery.telemetry: SOC  95% | 30.83V | -8.8A (discharging) | batt 24°C | mcu 27°C | cycles 4
2026-06-18 13:34:26,345 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.23V | -6.3A (discharging) | batt 24°C | mcu 27°C | cycles 4
2026-06-18 13:34:36,347 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.28V | -8.6A (discharging) | batt 24°C | mcu 27°C | cycles 4
2026-06-18 13:34:46,352 [INFO] go2_survey.battery.telemetry: SOC  95% | 30.69V | -7.4A (discharging) | batt 24°C | mcu 27°C | cycles 4
2026-06-18 13:34:56,354 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.05V | -5.9A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:35:06,355 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.05V | -10.2A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:35:16,357 [INFO] go2_survey.battery.telemetry: SOC  94% | 30.62V | -9.1A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:35:26,359 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.77V | -7.4A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:35:36,361 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.94V | -9.7A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:35:46,365 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.93V | -7.0A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:35:56,368 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.94V | -8.4A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:36:06,370 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.84V | -9.2A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:36:16,371 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.79V | -6.1A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:36:26,374 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.78V | -7.2A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:36:36,376 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.95V | -4.0A (discharging) | batt 24°C | mcu 28°C | cycles 4
2026-06-18 13:36:46,378 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.93V | -4.7A (discharging) | batt 25°C | mcu 28°C | cycles 4
2026-06-18 13:36:56,380 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.93V | -4.7A (discharging) | batt 25°C | mcu 28°C | cycles 4
2026-06-18 13:37:06,382 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.93V | -4.7A (discharging) | batt 25°C | mcu 28°C | cycles 4
2026-06-18 13:37:16,385 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.92V | -4.7A (discharging) | batt 25°C | mcu 28°C | cycles 4
2026-06-18 13:37:26,388 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.91V | -4.7A (discharging) | batt 25°C | mcu 28°C | cycles 4
2026-06-18 13:37:36,391 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.90V | -4.7A (discharging) | batt 25°C | mcu 28°C | cycles 4
