2026-06-17 10:37:07,964 [INFO] go2_survey.battery.telemetry: SOC  80% | 30.26V | -4.0A (discharging) | batt 26°C | mcu 29°C | cycles 4
2026-06-17 10:37:18,007 [INFO] go2_survey.battery.telemetry: SOC  80% | 30.04V | -7.7A (discharging) | batt 26°C | mcu 29°C | cycles 4
2026-06-17 10:37:28,010 [INFO] go2_survey.battery.telemetry: SOC  80% | 30.15V | -8.8A (discharging) | batt 26°C | mcu 29°C | cycles 4
2026-06-17 10:37:38,011 [INFO] go2_survey.battery.telemetry: SOC  80% | 29.99V | -7.5A (discharging) | batt 27°C | mcu 29°C | cycles 4
2026-06-17 10:37:48,013 [INFO] go2_survey.battery.telemetry: SOC  79% | 30.05V | -9.2A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-17 10:37:58,015 [INFO] go2_survey.battery.telemetry: SOC  79% | 30.00V | -9.1A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-17 10:38:08,017 [INFO] go2_survey.battery.telemetry: SOC  79% | 30.02V | -7.4A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-17 10:38:18,019 [INFO] go2_survey.battery.telemetry: SOC  78% | 29.90V | -5.1A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-17 10:38:28,022 [INFO] go2_survey.battery.telemetry: SOC  78% | 30.00V | -8.3A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-17 10:38:38,024 [INFO] go2_survey.battery.telemetry: SOC  78% | 29.88V | -8.3A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-17 10:38:48,027 [INFO] go2_survey.battery.telemetry: SOC  77% | 29.84V | -9.1A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-17 10:38:58,029 [INFO] go2_survey.battery.telemetry: SOC  77% | 29.34V | -10.1A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-17 10:39:08,038 [INFO] go2_survey.battery.telemetry: SOC  76% | 29.47V | -16.7A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-17 10:39:18,041 [INFO] go2_survey.battery.telemetry: SOC  76% | 29.68V | -8.2A (discharging) | batt 27°C | mcu 30°C | cycles 4
