2026-06-16 10:57:10,183 [INFO] go2_survey.battery.telemetry: SOC  66% | 29.46V | -3.2A (discharging) | batt 29°C | mcu 33°C | cycles 3
2026-06-16 10:57:20,349 [INFO] go2_survey.battery.telemetry: SOC  66% | 29.35V | -8.3A (discharging) | batt 29°C | mcu 33°C | cycles 3
2026-06-16 10:57:30,351 [INFO] go2_survey.battery.telemetry: SOC  66% | 29.29V | -8.3A (discharging) | batt 29°C | mcu 33°C | cycles 3
2026-06-16 10:57:40,353 [INFO] go2_survey.battery.telemetry: SOC  65% | 29.22V | -7.5A (discharging) | batt 29°C | mcu 33°C | cycles 3
2026-06-16 10:57:50,364 [INFO] go2_survey.battery.telemetry: SOC  65% | 29.28V | -3.4A (discharging) | batt 29°C | mcu 33°C | cycles 3
2026-06-16 10:58:00,366 [INFO] go2_survey.battery.telemetry: SOC  65% | 28.92V | -6.7A (discharging) | batt 29°C | mcu 33°C | cycles 3
2026-06-16 10:58:10,418 [INFO] go2_survey.battery.telemetry: SOC  65% | 29.16V | -9.1A (discharging) | batt 29°C | mcu 33°C | cycles 3
2026-06-16 10:58:20,742 [INFO] go2_survey.battery.telemetry: SOC  64% | 29.28V | -2.6A (discharging) | batt 29°C | mcu 33°C | cycles 3
2026-06-16 10:58:30,744 [INFO] go2_survey.battery.telemetry: SOC  64% | 28.93V | -12.2A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 10:58:40,896 [INFO] go2_survey.battery.telemetry: SOC  64% | 29.07V | -9.3A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 10:58:50,942 [INFO] go2_survey.battery.telemetry: SOC  63% | 28.70V | -11.0A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 10:59:00,952 [INFO] go2_survey.battery.telemetry: SOC  63% | 29.07V | -7.5A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 10:59:10,954 [INFO] go2_survey.battery.telemetry: SOC  62% | 29.12V | -3.3A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 10:59:20,955 [INFO] go2_survey.battery.telemetry: SOC  62% | 28.76V | -7.0A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 10:59:30,957 [INFO] go2_survey.battery.telemetry: SOC  62% | 29.04V | -7.4A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 10:59:41,010 [INFO] go2_survey.battery.telemetry: SOC  62% | 28.72V | -11.4A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 10:59:51,012 [INFO] go2_survey.battery.telemetry: SOC  61% | 28.88V | -9.1A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 11:00:01,013 [INFO] go2_survey.battery.telemetry: SOC  61% | 28.99V | -8.7A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 11:00:11,015 [INFO] go2_survey.battery.telemetry: SOC  61% | 29.01V | -5.6A (discharging) | batt 29°C | mcu 34°C | cycles 3
2026-06-16 11:00:21,017 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.99V | -4.2A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-16 11:00:31,157 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.87V | -8.3A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-16 11:00:41,159 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.96V | -3.9A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-16 11:00:51,162 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.44V | -10.5A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-16 11:01:01,171 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.69V | -8.1A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-16 11:01:11,172 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.65V | -8.2A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-16 11:01:21,175 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.61V | -9.8A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-16 11:01:31,176 [INFO] go2_survey.battery.telemetry: SOC  58% | 28.68V | -8.3A (discharging) | batt 30°C | mcu 34°C | cycles 3
