2026-06-18 16:09:55,872 [INFO] go2_survey.battery.telemetry: SOC  50% | 28.59V | -5.7A (discharging) | batt 38°C | mcu 40°C | cycles 3
2026-06-18 16:10:05,879 [INFO] go2_survey.battery.telemetry: SOC  50% | 28.33V | -6.6A (discharging) | batt 38°C | mcu 40°C | cycles 3
2026-06-18 16:10:15,881 [INFO] go2_survey.battery.telemetry: SOC  49% | 28.18V | -7.7A (discharging) | batt 38°C | mcu 40°C | cycles 3
2026-06-18 16:10:25,883 [INFO] go2_survey.battery.telemetry: SOC  49% | 28.48V | -10.3A (discharging) | batt 38°C | mcu 40°C | cycles 3
2026-06-18 16:10:35,886 [INFO] go2_survey.battery.telemetry: SOC  49% | 28.10V | -9.6A (discharging) | batt 38°C | mcu 40°C | cycles 3
2026-06-18 16:10:45,888 [INFO] go2_survey.battery.telemetry: SOC  48% | 28.25V | -11.9A (discharging) | batt 38°C | mcu 40°C | cycles 3
2026-06-18 16:10:55,890 [INFO] go2_survey.battery.telemetry: SOC  48% | 28.30V | -10.1A (discharging) | batt 38°C | mcu 40°C | cycles 3
2026-06-18 16:11:05,893 [INFO] go2_survey.battery.telemetry: SOC  47% | 28.22V | -8.4A (discharging) | batt 38°C | mcu 40°C | cycles 3
2026-06-18 16:11:15,896 [INFO] go2_survey.battery.telemetry: SOC  47% | 28.18V | -11.6A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:11:25,898 [INFO] go2_survey.battery.telemetry: SOC  47% | 28.13V | -9.7A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:11:35,900 [INFO] go2_survey.battery.telemetry: SOC  46% | 28.47V | -10.8A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:11:45,907 [INFO] go2_survey.battery.telemetry: SOC  46% | 28.20V | -8.5A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:11:55,909 [INFO] go2_survey.battery.telemetry: SOC  46% | 28.27V | -7.5A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:12:05,911 [INFO] go2_survey.battery.telemetry: SOC  45% | 28.17V | -9.2A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:12:15,914 [INFO] go2_survey.battery.telemetry: SOC  45% | 28.28V | -8.3A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:12:25,916 [INFO] go2_survey.battery.telemetry: SOC  45% | 28.03V | -10.9A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:12:35,918 [INFO] go2_survey.battery.telemetry: SOC  44% | 27.25V | -10.7A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:12:45,920 [INFO] go2_survey.battery.telemetry: SOC  44% | 28.12V | -11.7A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:12:55,928 [INFO] go2_survey.battery.telemetry: SOC  44% | 28.26V | -9.6A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:13:05,930 [INFO] go2_survey.battery.telemetry: SOC  43% | 28.02V | -8.0A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:13:15,933 [INFO] go2_survey.battery.telemetry: SOC  43% | 27.66V | -11.2A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:13:25,935 [INFO] go2_survey.battery.telemetry: SOC  42% | 28.13V | -7.9A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:13:35,937 [INFO] go2_survey.battery.telemetry: SOC  42% | 28.12V | -9.6A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:13:45,940 [INFO] go2_survey.battery.telemetry: SOC  42% | 28.00V | -11.1A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:13:55,942 [INFO] go2_survey.battery.telemetry: SOC  41% | 27.86V | -11.4A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:14:05,945 [INFO] go2_survey.battery.telemetry: SOC  41% | 27.97V | -11.1A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:14:15,949 [INFO] go2_survey.battery.telemetry: SOC  40% | 28.21V | -9.6A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:14:25,959 [INFO] go2_survey.battery.telemetry: SOC  40% | 28.13V | -9.7A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:14:35,961 [INFO] go2_survey.battery.telemetry: SOC  39% | 27.56V | -9.0A (discharging) | batt 38°C | mcu 41°C | cycles 3
2026-06-18 16:14:45,963 [INFO] go2_survey.battery.telemetry: SOC  39% | 27.83V | -10.7A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:14:56,019 [INFO] go2_survey.battery.telemetry: SOC  38% | 28.11V | -11.2A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:15:06,021 [INFO] go2_survey.battery.telemetry: SOC  38% | 28.04V | -9.3A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:15:16,055 [INFO] go2_survey.battery.telemetry: SOC  37% | 28.08V | -6.2A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:15:26,057 [INFO] go2_survey.battery.telemetry: SOC  37% | 27.33V | -8.2A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:15:36,059 [INFO] go2_survey.battery.telemetry: SOC  37% | 27.91V | -9.8A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:15:46,062 [INFO] go2_survey.battery.telemetry: SOC  37% | 27.99V | -12.2A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:15:56,109 [INFO] go2_survey.battery.telemetry: SOC  36% | 28.16V | -9.2A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:16:06,111 [INFO] go2_survey.battery.telemetry: SOC  36% | 27.57V | -8.3A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:16:16,119 [INFO] go2_survey.battery.telemetry: SOC  35% | 27.88V | -9.9A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:16:26,121 [INFO] go2_survey.battery.telemetry: SOC  35% | 27.78V | -10.7A (discharging) | batt 38°C | mcu 42°C | cycles 3
2026-06-18 16:16:36,123 [INFO] go2_survey.battery.telemetry: SOC  35% | 28.01V | -8.3A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:16:46,128 [INFO] go2_survey.battery.telemetry: SOC  34% | 28.08V | -12.1A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:16:56,131 [INFO] go2_survey.battery.telemetry: SOC  34% | 27.88V | -9.1A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:17:06,133 [INFO] go2_survey.battery.telemetry: SOC  34% | 28.04V | -9.5A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:17:16,136 [INFO] go2_survey.battery.telemetry: SOC  33% | 27.75V | -12.1A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:17:26,138 [INFO] go2_survey.battery.telemetry: SOC  33% | 28.04V | -9.1A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:17:36,140 [INFO] go2_survey.battery.telemetry: SOC  33% | 27.81V | -10.4A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:17:46,142 [INFO] go2_survey.battery.telemetry: SOC  32% | 27.89V | -5.4A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:17:56,145 [INFO] go2_survey.battery.telemetry: SOC  32% | 27.94V | -6.9A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:18:06,146 [INFO] go2_survey.battery.telemetry: SOC  32% | 27.61V | -8.9A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:18:16,148 [INFO] go2_survey.battery.telemetry: SOC  31% | 27.57V | -10.3A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:18:26,150 [INFO] go2_survey.battery.telemetry: SOC  31% | 27.65V | -9.3A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:18:36,153 [INFO] go2_survey.battery.telemetry: SOC  31% | 27.62V | -10.7A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:18:46,155 [INFO] go2_survey.battery.telemetry: SOC  30% | 27.53V | -8.1A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:18:56,158 [INFO] go2_survey.battery.telemetry: SOC  30% | 27.92V | -9.8A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:19:06,160 [INFO] go2_survey.battery.telemetry: SOC  29% | 27.85V | -10.9A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:19:16,162 [INFO] go2_survey.battery.telemetry: SOC  29% | 27.69V | -11.0A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:19:26,164 [INFO] go2_survey.battery.telemetry: SOC  29% | 27.77V | -9.1A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:19:36,166 [INFO] go2_survey.battery.telemetry: SOC  28% | 27.80V | -10.8A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:19:46,168 [INFO] go2_survey.battery.telemetry: SOC  28% | 27.63V | -9.2A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:19:56,171 [INFO] go2_survey.battery.telemetry: SOC  27% | 27.77V | -10.0A (discharging) | batt 39°C | mcu 42°C | cycles 3
2026-06-18 16:20:06,173 [INFO] go2_survey.battery.telemetry: SOC  27% | 27.65V | -9.9A (discharging) | batt 39°C | mcu 42°C | cycles 3
