2026-06-18 14:13:05,002 [INFO] go2_survey.battery.telemetry: SOC  62% | 29.04V | -3.8A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-18 14:13:15,008 [INFO] go2_survey.battery.telemetry: SOC  62% | 28.68V | -6.3A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-18 14:13:25,010 [INFO] go2_survey.battery.telemetry: SOC  61% | 28.81V | -7.5A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-18 14:13:35,012 [INFO] go2_survey.battery.telemetry: SOC  61% | 28.45V | -6.7A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-18 14:13:45,017 [INFO] go2_survey.battery.telemetry: SOC  61% | 28.85V | -8.7A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-18 14:13:55,021 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.95V | -5.5A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-18 14:14:05,024 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.80V | -4.7A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-18 14:14:15,026 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.76V | -8.8A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-18 14:14:25,027 [INFO] go2_survey.battery.telemetry: SOC  59% | 27.99V | -9.3A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-18 14:14:35,029 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.84V | -12.9A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-18 14:14:45,031 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.61V | -8.2A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:14:55,035 [INFO] go2_survey.battery.telemetry: SOC  58% | 28.51V | -11.7A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:15:05,098 [INFO] go2_survey.battery.telemetry: SOC  58% | 28.63V | -9.1A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:15:15,105 [INFO] go2_survey.battery.telemetry: SOC  57% | 28.67V | -11.6A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:15:25,185 [INFO] go2_survey.battery.telemetry: SOC  57% | 28.12V | -10.8A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:15:35,186 [INFO] go2_survey.battery.telemetry: SOC  57% | 28.61V | -9.7A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:15:45,189 [INFO] go2_survey.battery.telemetry: SOC  56% | 28.16V | -8.2A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:15:55,190 [INFO] go2_survey.battery.telemetry: SOC  56% | 28.45V | -9.4A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:16:05,192 [INFO] go2_survey.battery.telemetry: SOC  55% | 28.49V | -6.4A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:16:15,195 [INFO] go2_survey.battery.telemetry: SOC  55% | 28.58V | -6.6A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:16:25,197 [INFO] go2_survey.battery.telemetry: SOC  55% | 27.97V | -5.3A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:16:35,200 [INFO] go2_survey.battery.telemetry: SOC  54% | 28.25V | -10.9A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:16:45,202 [INFO] go2_survey.battery.telemetry: SOC  54% | 28.39V | -6.3A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-18 14:16:55,204 [INFO] go2_survey.battery.telemetry: SOC  54% | 28.53V | -5.4A (discharging) | batt 31°C | mcu 34°C | cycles 4
