2026-06-16 10:29:06,423 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.39V | -2.4A (discharging) | batt 22°C | mcu 26°C | cycles 3
2026-06-16 10:29:16,561 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.05V | -6.9A (discharging) | batt 22°C | mcu 26°C | cycles 3
2026-06-16 10:29:26,566 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.13V | -8.4A (discharging) | batt 22°C | mcu 26°C | cycles 3
2026-06-16 10:29:36,568 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.13V | -10.5A (discharging) | batt 22°C | mcu 26°C | cycles 3
2026-06-16 10:29:46,643 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.12V | -6.8A (discharging) | batt 22°C | mcu 26°C | cycles 3
2026-06-16 10:29:56,645 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.69V | -8.5A (discharging) | batt 23°C | mcu 26°C | cycles 3
2026-06-16 10:30:06,647 [INFO] go2_survey.battery.telemetry: SOC  93% | 31.05V | -7.5A (discharging) | batt 23°C | mcu 26°C | cycles 3
2026-06-16 10:30:16,648 [INFO] go2_survey.battery.telemetry: SOC  93% | 31.03V | -9.1A (discharging) | batt 23°C | mcu 26°C | cycles 3
2026-06-16 10:30:26,649 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.85V | -6.5A (discharging) | batt 23°C | mcu 26°C | cycles 3
2026-06-16 10:30:36,651 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.90V | -8.6A (discharging) | batt 23°C | mcu 26°C | cycles 3
2026-06-16 10:30:46,653 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.46V | -9.2A (discharging) | batt 23°C | mcu 26°C | cycles 3
2026-06-16 10:30:56,654 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.83V | -9.4A (discharging) | batt 23°C | mcu 26°C | cycles 3
2026-06-16 10:31:06,656 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.61V | -7.7A (discharging) | batt 23°C | mcu 26°C | cycles 3
2026-06-16 10:31:16,657 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.43V | -10.5A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:31:26,661 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.45V | -6.1A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:31:36,663 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.91V | -7.9A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:31:46,665 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.74V | -7.8A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:31:56,668 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.26V | -9.8A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:32:06,830 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.70V | -8.6A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:32:16,832 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.70V | -8.0A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:32:26,834 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.29V | -8.5A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:32:36,835 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.30V | -8.9A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:32:46,837 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.58V | -10.7A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:32:56,940 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.66V | -9.9A (discharging) | batt 23°C | mcu 27°C | cycles 3
2026-06-16 10:33:07,020 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.50V | -8.2A (discharging) | batt 24°C | mcu 27°C | cycles 3
2026-06-16 10:33:17,022 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.13V | -10.9A (discharging) | batt 24°C | mcu 27°C | cycles 3
2026-06-16 10:33:27,024 [INFO] go2_survey.battery.telemetry: SOC  86% | 30.49V | -8.8A (discharging) | batt 24°C | mcu 27°C | cycles 3
2026-06-16 10:33:37,026 [INFO] go2_survey.battery.telemetry: SOC  86% | 30.60V | -6.5A (discharging) | batt 24°C | mcu 27°C | cycles 3
2026-06-16 10:33:47,031 [INFO] go2_survey.battery.telemetry: SOC  86% | 30.62V | -5.9A (discharging) | batt 24°C | mcu 27°C | cycles 3
2026-06-16 10:33:57,032 [INFO] go2_survey.battery.telemetry: SOC  86% | 30.37V | -7.6A (discharging) | batt 24°C | mcu 27°C | cycles 3
2026-06-16 10:34:07,040 [INFO] go2_survey.battery.telemetry: SOC  85% | 30.32V | -3.1A (discharging) | batt 24°C | mcu 27°C | cycles 3
2026-06-16 10:34:17,041 [INFO] go2_survey.battery.telemetry: SOC  85% | 30.56V | -4.8A (discharging) | batt 24°C | mcu 27°C | cycles 3
2026-06-16 10:34:27,043 [INFO] go2_survey.battery.telemetry: SOC  85% | 30.41V | -7.0A (discharging) | batt 24°C | mcu 28°C | cycles 3
2026-06-16 10:34:37,044 [INFO] go2_survey.battery.telemetry: SOC  85% | 30.54V | -7.8A (discharging) | batt 24°C | mcu 28°C | cycles 3
2026-06-16 10:34:47,045 [INFO] go2_survey.battery.telemetry: SOC  84% | 30.56V | -7.7A (discharging) | batt 24°C | mcu 28°C | cycles 3
2026-06-16 10:34:57,047 [INFO] go2_survey.battery.telemetry: SOC  84% | 29.94V | -7.1A (discharging) | batt 24°C | mcu 28°C | cycles 3
2026-06-16 10:35:07,049 [INFO] go2_survey.battery.telemetry: SOC  84% | 30.24V | -7.5A (discharging) | batt 24°C | mcu 28°C | cycles 3
