2026-06-18 15:40:06,095 [INFO] go2_survey.battery.telemetry: SOC  76% | 30.25V | -2.4A (discharging) | batt 34°C | mcu 38°C | cycles 3
2026-06-18 15:40:16,100 [INFO] go2_survey.battery.telemetry: SOC  76% | 29.94V | -7.1A (discharging) | batt 34°C | mcu 38°C | cycles 3
2026-06-18 15:40:26,103 [INFO] go2_survey.battery.telemetry: SOC  76% | 29.98V | -6.5A (discharging) | batt 34°C | mcu 38°C | cycles 3
2026-06-18 15:40:36,109 [INFO] go2_survey.battery.telemetry: SOC  75% | 29.98V | -7.6A (discharging) | batt 34°C | mcu 38°C | cycles 3
2026-06-18 15:40:46,112 [INFO] go2_survey.battery.telemetry: SOC  75% | 29.87V | -6.9A (discharging) | batt 34°C | mcu 38°C | cycles 3
2026-06-18 15:40:56,118 [INFO] go2_survey.battery.telemetry: SOC  75% | 29.76V | -7.0A (discharging) | batt 34°C | mcu 38°C | cycles 3
2026-06-18 15:41:06,120 [INFO] go2_survey.battery.telemetry: SOC  75% | 29.66V | -11.3A (discharging) | batt 34°C | mcu 38°C | cycles 3
2026-06-18 15:41:16,122 [INFO] go2_survey.battery.telemetry: SOC  74% | 29.72V | -8.9A (discharging) | batt 34°C | mcu 39°C | cycles 3
2026-06-18 15:41:26,124 [INFO] go2_survey.battery.telemetry: SOC  74% | 29.56V | -9.6A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:41:36,126 [INFO] go2_survey.battery.telemetry: SOC  74% | 29.65V | -13.3A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:41:46,128 [INFO] go2_survey.battery.telemetry: SOC  73% | 29.73V | -12.9A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:41:56,133 [INFO] go2_survey.battery.telemetry: SOC  73% | 29.81V | -3.2A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:42:06,136 [INFO] go2_survey.battery.telemetry: SOC  72% | 29.23V | -9.5A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:42:16,138 [INFO] go2_survey.battery.telemetry: SOC  72% | 29.58V | -9.8A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:42:26,140 [INFO] go2_survey.battery.telemetry: SOC  72% | 29.53V | -5.1A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:42:36,141 [INFO] go2_survey.battery.telemetry: SOC  71% | 29.54V | -5.7A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:42:46,145 [INFO] go2_survey.battery.telemetry: SOC  71% | 29.59V | -8.4A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:42:56,148 [INFO] go2_survey.battery.telemetry: SOC  71% | 29.58V | -7.8A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:43:06,150 [INFO] go2_survey.battery.telemetry: SOC  71% | 29.50V | -6.4A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:43:16,152 [INFO] go2_survey.battery.telemetry: SOC  70% | 29.61V | -5.7A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:43:26,155 [INFO] go2_survey.battery.telemetry: SOC  70% | 29.45V | -6.6A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:43:36,157 [INFO] go2_survey.battery.telemetry: SOC  70% | 29.61V | -6.2A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:43:46,159 [INFO] go2_survey.battery.telemetry: SOC  70% | 29.50V | -9.1A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:43:56,162 [INFO] go2_survey.battery.telemetry: SOC  69% | 29.61V | -7.7A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:44:06,164 [INFO] go2_survey.battery.telemetry: SOC  69% | 29.45V | -10.6A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:44:16,166 [INFO] go2_survey.battery.telemetry: SOC  69% | 29.30V | -12.2A (discharging) | batt 35°C | mcu 39°C | cycles 3
2026-06-18 15:44:26,168 [INFO] go2_survey.battery.telemetry: SOC  68% | 29.30V | -9.5A (discharging) | batt 35°C | mcu 40°C | cycles 3
2026-06-18 15:44:36,170 [INFO] go2_survey.battery.telemetry: SOC  68% | 29.26V | -10.4A (discharging) | batt 35°C | mcu 40°C | cycles 3
2026-06-18 15:44:46,172 [INFO] go2_survey.battery.telemetry: SOC  67% | 28.66V | -13.6A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:44:56,176 [INFO] go2_survey.battery.telemetry: SOC  67% | 29.18V | -8.8A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:45:06,178 [INFO] go2_survey.battery.telemetry: SOC  66% | 29.23V | -10.8A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:45:16,180 [INFO] go2_survey.battery.telemetry: SOC  66% | 28.94V | -10.6A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:45:26,192 [INFO] go2_survey.battery.telemetry: SOC  65% | 29.16V | -9.7A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:45:36,201 [INFO] go2_survey.battery.telemetry: SOC  65% | 28.97V | -9.0A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:45:46,204 [INFO] go2_survey.battery.telemetry: SOC  65% | 29.27V | -6.1A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:45:56,260 [INFO] go2_survey.battery.telemetry: SOC  65% | 29.25V | -7.0A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:46:06,262 [INFO] go2_survey.battery.telemetry: SOC  65% | 29.13V | -6.7A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:46:16,265 [INFO] go2_survey.battery.telemetry: SOC  64% | 29.16V | -7.2A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:46:26,268 [INFO] go2_survey.battery.telemetry: SOC  64% | 29.18V | -5.9A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:46:36,270 [INFO] go2_survey.battery.telemetry: SOC  64% | 29.05V | -7.1A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:46:46,275 [INFO] go2_survey.battery.telemetry: SOC  63% | 28.95V | -6.7A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:46:56,277 [INFO] go2_survey.battery.telemetry: SOC  63% | 28.54V | -12.9A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:47:06,280 [INFO] go2_survey.battery.telemetry: SOC  63% | 28.81V | -9.7A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:47:16,282 [INFO] go2_survey.battery.telemetry: SOC  62% | 28.99V | -7.2A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:47:26,285 [INFO] go2_survey.battery.telemetry: SOC  62% | 28.84V | -11.1A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:47:36,289 [INFO] go2_survey.battery.telemetry: SOC  61% | 29.03V | -13.4A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:47:46,291 [INFO] go2_survey.battery.telemetry: SOC  61% | 28.60V | -10.8A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:47:56,293 [INFO] go2_survey.battery.telemetry: SOC  60% | 29.10V | -3.1A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:48:06,297 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.76V | -7.1A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:48:16,299 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.79V | -11.5A (discharging) | batt 36°C | mcu 40°C | cycles 3
2026-06-18 15:48:26,301 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.38V | -10.0A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:48:36,303 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.91V | -9.3A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:48:46,309 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.65V | -8.3A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:48:56,311 [INFO] go2_survey.battery.telemetry: SOC  58% | 28.80V | -7.5A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:49:06,314 [INFO] go2_survey.battery.telemetry: SOC  58% | 28.90V | -8.0A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:49:16,316 [INFO] go2_survey.battery.telemetry: SOC  58% | 28.61V | -7.5A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:49:26,318 [INFO] go2_survey.battery.telemetry: SOC  57% | 28.88V | -10.4A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:49:36,320 [INFO] go2_survey.battery.telemetry: SOC  57% | 28.78V | -7.8A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:49:46,323 [INFO] go2_survey.battery.telemetry: SOC  57% | 28.81V | -8.0A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:49:56,324 [INFO] go2_survey.battery.telemetry: SOC  56% | 28.50V | -8.9A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:50:06,326 [INFO] go2_survey.battery.telemetry: SOC  56% | 28.69V | -10.6A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:50:16,328 [INFO] go2_survey.battery.telemetry: SOC  56% | 28.42V | -11.1A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:50:26,330 [INFO] go2_survey.battery.telemetry: SOC  55% | 28.63V | -14.2A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:50:36,333 [INFO] go2_survey.battery.telemetry: SOC  55% | 28.52V | -11.7A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:50:46,335 [INFO] go2_survey.battery.telemetry: SOC  54% | 28.36V | -10.3A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:50:56,339 [INFO] go2_survey.battery.telemetry: SOC  54% | 28.62V | -10.2A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:51:06,341 [INFO] go2_survey.battery.telemetry: SOC  53% | 28.60V | -10.5A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:51:16,344 [INFO] go2_survey.battery.telemetry: SOC  53% | 28.65V | -12.0A (discharging) | batt 37°C | mcu 41°C | cycles 3
2026-06-18 15:51:26,349 [INFO] go2_survey.battery.telemetry: SOC  52% | 27.91V | -11.2A (discharging) | batt 37°C | mcu 41°C | cycles 3
