config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
ground/linear ENS,0.9361741480180268,0.8976664330582981,0.8725648489112207,0.7407261013370334,0.42555857136601183,0.8600018040484734,0.8206909925317546,0.9317033679142083
ground/mlp ENS,0.9410131905762015,0.9021599321936453,0.8719033858989944,0.7245678181122174,0.3673198867115705,0.8582224042512278,0.808131075335777,0.9195974123487309
drone/linear ENS,0.7065643424548617,0.7829656898789369,0.4139502111691387,0.21789093714476307,0.20823961182381293,0.44016435244882657,0.3877411732930164,0.7220476009426156
drone/mlp ENS,0.7513992538122125,0.7815786998638081,0.4409905746647666,0.33126479851764457,0.20331350196903542,0.4828423812395487,0.387440874716852,0.7166539002840897
fused/linear ENS,0.9237107172546952,0.9066237226130577,0.8304203614412926,0.6450026504721589,0.3804788784976027,0.772559828930536,0.7694330123346835,0.9051461333287086
fused/mlp ENS,0.9310109686464413,0.8807979281115462,0.699164606200081,0.5513114012952718,0.3508074224325635,0.7746700691830742,0.6402872447668161,0.8767392338850009
