config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
ground alone,0.9361741480180268,0.8976664330582981,0.8725648489112207,0.7407261013370334,0.42555857136601183,0.8600018040484734,0.8206909925317546,0.9317033679142083
drone alone,0.7065643424548617,0.7829656898789369,0.4139502111691387,0.21789093714476307,0.20823961182381293,0.44016435244882657,0.3877411732930164,0.7220476009426156
weighted avg,0.9366432784831314,0.9263670726638411,0.8718707833180422,0.7407261013370334,0.49078267219292604,0.8630876836328107,0.8240493907329688,0.9311993636246123
stacking LR,0.9300328015103022,0.9160960282416442,0.8588736141361047,0.6481537297898525,0.4174136610991193,0.8355855330724113,0.7916333554660352,0.9205326475586295
