config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
grid alone,0.9361741480180268,0.8976664330582981,0.8725648489112207,0.7407261013370334,0.42555857136601183,0.8600018040484734,0.8206909925317546,0.9317033679142083
global alone,0.8793512590256102,0.8175937614242417,0.6561952592297423,0.49036821742534925,0.21750917550336113,0.7231644440422478,0.6208713241879523,0.892450098352356
drone alone,0.7065643424548617,0.7829656898789369,0.4139502111691387,0.21789093714476307,0.20823961182381293,0.44016435244882657,0.3877411732930164,0.7220476009426156
3-way weighted avg (grid+global+drone),0.9390278854320631,0.9286311474480841,0.8761444973913988,0.7365518320222149,0.5008018909073665,0.8567376218561499,0.8263156285093872,0.9307890790418356
"stacking LR (all 3, 24-d)",0.9336225097231075,0.9177596908560103,0.8708605080519733,0.6471818869819654,0.40768866562389255,0.8357437176067264,0.8004398716225798,0.9232498058005408
3-way + tuned threshold,0.9390278854320631,0.9286311474480841,0.8761444973913988,0.7365518320222149,0.5008018909073665,0.8567376218561499,0.8263156285093872,0.9307890790418356
