config,macro_F1,macro_AP,perfold_F1,perfold_sd
dp=0.0 s0,0.7065919562944865,0.755173557644395,0.6908966644753015,0.022238776742747594
dp=0.0 s1,0.7047093134445597,0.7559891010458288,0.688348423522825,0.02044768662030415
dp=0.0 s2,0.7047940890503139,0.7549497100547613,0.6882222404272822,0.021851305588551292
dp=0.0 ENS,0.7041000947239054,0.7575179168699095,0.6877261029813038,0.020631562017395973
dp=0.1 s0,0.7036236781382432,0.7532836581082503,0.6886046101665041,0.02463525176700813
dp=0.1 s1,0.7007370445707495,0.7562018676508777,0.6846175950323218,0.02751208269226934
dp=0.1 s2,0.7019519540027148,0.7559429276006198,0.6888930526949661,0.02429802347019099
dp=0.1 ENS,0.7044553080218662,0.7575507838658077,0.6892676672405024,0.024004218384675563
dp=0.2 s0,0.6967496971902162,0.753073765155385,0.682204124630681,0.021610560866943573
dp=0.2 s1,0.7027461800614472,0.7571647542004267,0.687426438052974,0.02261209242687033
dp=0.2 s2,0.7026930162574496,0.7530388133702965,0.6855638854201411,0.02241234862730173
dp=0.2 ENS,0.697329578681787,0.7564839734727898,0.6806913909493032,0.019630902900413933
dp=0.3 s0,0.6841309738194825,0.7382709211572482,0.6748557222001005,0.034916940994406113
dp=0.3 s1,0.6979288492169055,0.7507436259419505,0.6838113785969578,0.02495645562779932
dp=0.3 s2,0.6975509966225122,0.7540309858109198,0.6815261643057702,0.021895492854894245
dp=0.3 ENS,0.6986055252889465,0.7528875931920616,0.682635179164467,0.021205925863703633
dp=0.4 s0,0.6946925482608346,0.750118659497724,0.6810767501997159,0.02700932158254069
dp=0.4 s1,0.6975947285305032,0.7509697536985007,0.6813033672720061,0.02414766212534429
dp=0.4 s2,0.6877319987251218,0.7488014019667026,0.6773189104934205,0.022326349586401912
dp=0.4 ENS,0.6913121768518011,0.7520141369176148,0.676433551726654,0.02471192611409896
