config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
noaug: linear (3-seed),0.8891766296945713,0.901060750455424,0.7259896290764565,0.5817947277425454,0.3443438956028949,0.7278891144680696,0.6699613887191004,0.8813935373655424
noaug: mlp h256/p0.4 (3-seed),0.9018280671830722,0.9053053146267611,0.676919409112506,0.5261157388159445,0.3837066156639494,0.7485154373314883,0.6969788501296333,0.9030163438382093
noaug: linear + mlp ENS,0.9033991154804653,0.912373817728756,0.732365557684691,0.575740103827364,0.4024023591946281,0.7547087018351736,0.702456591325831,0.9017737769436371
aug: linear (3-seed),0.8857188091997084,0.9059346099967821,0.7150694949414547,0.5949426157964466,0.3691515222700513,0.7306203216753043,0.6679394164147883,0.887229574211946
aug: mlp h256/p0.4 (3-seed),0.908328098643015,0.9102002249210701,0.7009068369343318,0.5612914079101687,0.32039026135507614,0.7513360463248726,0.7103712935041168,0.9092596579058998
aug: linear + mlp ENS,0.9040768894049069,0.9165091709549152,0.7356045717275123,0.6069301706101229,0.3891228158925661,0.7551441564923986,0.7055296122857767,0.9067106025534042
