fold,species,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,d_0,d_1,d_2,d_3,d_4,d_5,d_6,d_7
3,Euphorbia virgata,1.5966362,-0.8593467,-1.0008161,-0.34716746,5.0148163,1.3521745,0.74180245,-0.32885596,-0.31590822,-0.7686303,-0.8678507,-0.09819773,3.2508228,0.025371592,0.5480348,0.3772159
3,Sisymbrium altissimum,0.31247687,-0.13435906,0.13085061,0.29671657,-0.45676756,4.8800697,0.727158,0.21115614,-0.027972983,-0.039164677,-0.34349918,0.043019474,-0.5878081,1.0066597,0.36558512,-0.65947974
3,Bromus tectorum,-0.21392547,1.1227719,0.10837598,-0.24672848,0.112979814,1.1645136,5.1235538,0.11106373,0.27273628,-0.45197374,-0.082604185,-0.3835393,-0.3746149,-0.11059484,1.4884486,-0.12630224
3,Poa bulbosa,0.1310998,-0.23153178,0.11152852,0.27388632,0.07857864,-0.4493127,0.0284811,4.4419847,0.042152587,0.1205566,-0.1304603,-0.035665177,0.2615572,-0.10767971,-0.05631573,0.4641426
4,Lupinus sericeus,5.028789,0.46990538,-0.009211716,-0.07872417,-0.21109098,0.13006662,-0.051808897,0.09026848,1.5092868,-0.6996482,0.5948726,-0.13777575,-0.39918533,0.18775003,-0.30641413,-0.06322123
4,Balsamorhiza sagittata,0.20179059,4.2499046,0.056173544,0.47986513,-0.18831281,0.08949888,0.3518987,-0.046046846,0.109132186,2.9219484,-0.2141476,0.66992444,-0.34396347,-0.10725643,-0.037075184,-0.44050813
4,Gaillardia aristata,0.019906022,-0.6290779,5.266526,0.47534198,-0.42759413,0.81472254,0.65282154,0.49546015,1.2426746,0.6925359,2.0850153,0.17766716,-0.30071113,0.48562422,-0.19284688,0.42122608
4,Achillea millefolium,-0.2480547,0.561282,1.1427169,5.0270114,0.0014242372,1.3102382,-0.616908,0.31610873,0.2874992,-0.10418633,-0.2687598,1.3159509,-0.57869697,0.5038997,0.004918793,0.12857005
4,Euphorbia virgata,1.8764241,-0.91473955,-1.0669411,-1.1569055,4.799252,0.7943901,0.3082495,-0.44988626,-0.086678915,-0.518901,-0.7626313,-1.0307437,3.3693788,0.16124241,0.7099532,0.5240207
4,Sisymbrium altissimum,0.20695378,-0.06426778,0.21158543,0.1431835,-0.14956518,4.8541765,0.8110053,0.24928477,-0.08400928,-0.23652005,-0.39206022,-0.022328682,-0.6038748,1.163496,0.37345892,-0.7494395
4,Bromus tectorum,-0.2802449,0.69998085,0.20774738,0.10133881,-0.0976665,0.4323868,5.181541,0.037038192,0.19508742,-0.12423833,-0.34300235,0.20609014,0.06281663,-0.026564624,1.4463061,-0.18408203
4,Poa bulbosa,0.19121937,-0.17517781,0.24166322,0.22156648,0.14814419,-0.49897322,0.06466302,4.2837234,-0.025097972,0.19248644,-0.04938636,-0.014529796,0.10893643,-0.16458225,0.101539195,0.7844989
