config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
k=1 ENS,0.9194580329639329,0.9082795008964317,0.852565807572286,0.6182448927612153,0.3995288625856371,0.7936590977760024,0.7321207719224453,0.9058833237050788
k=2 ENS,0.9181087573161529,0.9100876453965014,0.8551697433328735,0.6124053277591528,0.37733884136346313,0.7958597966121547,0.7343192934032017,0.9079820322712816
k=4 ENS,0.9190431411255519,0.9115742390155247,0.8287768902606317,0.6023011991946142,0.3869851012346048,0.7861319452958248,0.7335646274243662,0.9094865206975689
k=8 ENS,0.9193925840586615,0.9081239779349418,0.7993120849307096,0.5880291216485437,0.37794423182155873,0.7834357088776062,0.7302718303103516,0.9096100988529301
k=16 ENS,0.9199332838707178,0.9075479302858732,0.7732709855180429,0.5486253010331592,0.37308607128031074,0.7851104050978208,0.7275648687565713,0.9087262581439588
k=64 ENS,0.9108711003660916,0.9008378083518456,0.7213608810719038,0.4903840671146248,0.3465583594019026,0.7667241557535811,0.7137541083699024,0.898464913704568
k=256 ENS,0.9003450692994571,0.8830982566790152,0.666595816387095,0.44990634178966643,0.27608289056279056,0.7362666536121647,0.6833461910785641,0.8937450923992996
k=None ENS,0.8707817207722017,0.8822936727747196,0.6174942044429377,0.4469297891485256,0.2590511848672779,0.6925687726586794,0.6434035919230433,0.8761472726965638
