config,macro_F1,macro_AP,perfold_F1,perfold_sd
ground alone (ref),0.7557978506077287,0.8106357833981284,0.7390169400596918,0.026180498778216314
drone alone (ref),0.4757589955996314,0.4849454898944965,0.45938252056422435,0.031119228148149106
weighted avg (nested-tuned w),0.7630403868257529,0.8230907932481708,0.7439626972681685,0.025378174632878295
"stacking LR (C=0.1, nested)",0.6595738100307369,0.7897901713592623,0.6493894871679247,0.01826733217769493
