species,F1_at_0.5,F1_at_tuned,delta,mean_threshold
Lupinus sericeus,0.8786543852623148,0.8846787479406919,0.006024362678377138,0.615
Balsamorhiza sagittata,0.8827930174563591,0.8837209302325582,0.0009279127761990802,0.565
Gaillardia aristata,0.8178137651821862,0.7777777777777778,-0.04003598740440839,0.6699999999999999
Achillea millefolium,0.7189873417721518,0.7301587301587301,0.011171388386578274,0.615
Euphorbia virgata,0.4745762711864407,0.47413793103448276,-0.00043834015195792775,0.4049999999999999
Sisymbrium altissimum,0.7628865979381443,0.7896678966789668,0.026781298740822468,0.735
Bromus tectorum,0.7256438969764838,0.7657894736842106,0.04014557670772678,0.7300000000000001
Poa bulbosa,0.8429678188319428,0.8431625771272779,0.0001947582953351068,0.425
