config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
ground alone (ref),0.9361741480180268,0.8976664330582981,0.8725648489112207,0.7407261013370334,0.42555857136601183,0.8600018040484734,0.8206909925317546,0.9317033679142083
"drone alone, CLS (ref)",0.713866026522217,0.7857253920839606,0.41053777391803026,0.26759272056348726,0.15654529688957386,0.4765206809741444,0.35211853261638526,0.7317601475271889
"drone alone, both (this run)",0.6983211621823245,0.7692690484582735,0.40595974390859346,0.27688311409884414,0.19387462310602727,0.46913732223071736,0.33462441371138707,0.7280519029989518
weighted avg (drone=CLS),0.9384509458538235,0.926236206120384,0.8633418374835264,0.7342094094777663,0.46535383417328474,0.8652575021743955,0.8197092397412342,0.9317033679142083
stacking LR (drone=CLS),0.9331777517942506,0.9148895217477216,0.8675006781178594,0.6704584312748606,0.39757384878453184,0.8381776785564578,0.7839350317091299,0.9208040696433468
weighted avg (drone=both),0.9377904900287588,0.9200966648710218,0.8744247081565423,0.7407261013370334,0.4878248723926994,0.8657289706590898,0.8228811417518023,0.9316687866378883
stacking LR (drone=both),0.9304932243209058,0.9110830570079373,0.8427422134960695,0.6534208055304125,0.4151510983251527,0.832943627589933,0.7852613543854419,0.9202732356346467
