config,macro_F1,macro_AP,perfold_F1,perfold_sd
k=1 alone (this arch),0.7063961856651148,0.7619270268719307,0.6893493162993125,0.020594438048843346
k=2 alone (this arch),0.7048247321601255,0.759398040311302,0.6871869509093186,0.024478721253361712
k=4 alone (this arch),0.6953803602141959,0.751647785306358,0.6826336870816259,0.01910904895944827
k=8 alone (this arch),0.6878479801410706,0.7457720091055875,0.6749777589621694,0.014697932653701513
"avg(k=1,2)",0.7045928495808355,0.7625125291747088,0.6877784091337906,0.021867767555103248
"avg(k=1,2,4)",0.70131259616821,0.7597216187312547,0.6858107976448419,0.023308845980056773
"avg(k=1,2,4,8)",0.6991652739481026,0.7576208788210612,0.684494649393297,0.02097652481678856
"weighted(k=1,2,4) nested",0.706258675369899,0.7613236542422163,0.6905171904438684,0.02054732573693625
