config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
bce_pos_weight ENS,0.9357890063293982,0.8982820226423978,0.8796063952843468,0.7557881131699321,0.3855896451290607,0.8460204035569606,0.8209072820067006,0.9316396574827923
focal ENS,0.9239027864764839,0.876394032442184,0.8620641815581345,0.7167312031727308,0.2499931822506529,0.8334624666805642,0.8007144742051778,0.9292699484816158
asl ENS,0.9088704394220006,0.8632620903240685,0.8601109293512484,0.6600215933112238,0.0691567614647083,0.2599921549268773,0.6208573173660328,0.7755020243693754
