config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
k=1 alone (this arch),0.9196069142404675,0.9068665632195562,0.829922128522237,0.6701654596604036,0.3452613361288925,0.765742304359269,0.7539253151892401,0.9039261936553799
k=2 alone (this arch),0.9172552353178776,0.905499344586985,0.8335516066954821,0.6563457693322806,0.33431418339996893,0.763655132280904,0.7602087441438908,0.9043543067330267
k=4 alone (this arch),0.919198596598143,0.9070134394558812,0.8143160898835742,0.6429555099132047,0.31115417954915253,0.7574715552825633,0.7531485683631559,0.9079243434051892
k=8 alone (this arch),0.9191075928787482,0.9033834350520864,0.7935400433235615,0.6238726843926126,0.31174311972600083,0.7585266255509006,0.7494707226675477,0.9065318492532415
"avg(k=1,2)",0.9190176671519856,0.9068860961394812,0.8349879782281446,0.6651762874665744,0.34409748843520643,0.7656220893383142,0.7591442209495117,0.9051684056884529
"avg(k=1,2,4)",0.9191045325864803,0.9070958679992489,0.8310819895986034,0.6591476381373237,0.3326226130728751,0.7637658556256108,0.7584499102760768,0.9065045425538185
"avg(k=1,2,4,8)",0.919430008826618,0.9063315684548966,0.8273397632621013,0.6521706203664288,0.3291152387565964,0.7630913103317267,0.7567641935396601,0.9067243270304624
"weighted(k=1,2,4) nested",0.9191545163205294,0.904886641871829,0.8341922093901449,0.6701654596604036,0.3305108377955571,0.7650276728482045,0.7590093717753343,0.9076425242757274
