Lupinus,Balsamorhiza,Gaillardia,Achillea,Euphorbia,Sisymbrium,Bromus,Poa
0.6,0.5499999999999999,0.575,0.625,0.42499999999999993,0.75,0.75,0.42499999999999993
0.625,0.5499999999999999,0.85,0.625,0.42499999999999993,0.75,0.7,0.42499999999999993
0.6,0.5499999999999999,0.575,0.625,0.32499999999999996,0.75,0.75,0.42499999999999993
0.625,0.575,0.775,0.625,0.42499999999999993,0.675,0.7,0.475
0.625,0.6,0.575,0.575,0.42499999999999993,0.75,0.75,0.37499999999999994
