config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
ground_only ENS,0.9393415554521217,0.8977413397626914,0.8683981527014963,0.7399726708319269,0.3628557827984433,0.8574978543641275,0.8173513615244333,0.9299986740769386
sum_fixed ENS,0.9201473692572885,0.9044470836199668,0.8307464290660594,0.6630759127369172,0.3091837587746053,0.7611859341813373,0.7553124696687047,0.9041984936550587
gate_scalar ENS,0.9124057374762151,0.8883288864213417,0.7666203026015852,0.5849015125813424,0.1979522777005146,0.7417738084043699,0.7264752954408393,0.8975454610557567
gate_perclass ENS,0.914486446708003,0.8935355439191992,0.7923652307752236,0.5820000864266395,0.21379305524056563,0.7306787869280292,0.7136325700736954,0.9067112745171272
fusion_mlp ENS,0.9323768113927513,0.8876017711106601,0.8184340207626161,0.5932321581285381,0.3904635025574127,0.7659791662873603,0.7237811333839573,0.8898476902054613
