species,AP,ci_lo,ci_hi
Lupinus sericeus,0.9199746091503119,0.860178614563962,0.9530295217102942
Balsamorhiza sagittata,0.9001533823339736,0.848069340721601,0.9352344683792396
Gaillardia aristata,0.7920295798712916,0.6924189898607572,0.8536514994844757
Achillea millefolium,0.6187409174014165,0.47500221195035436,0.7230996787669509
Euphorbia virgata,0.29413319425348383,0.024486481618378506,0.5219434276126403
Sisymbrium altissimum,0.7572375685545668,0.6714357729823541,0.8159889171379585
Bromus tectorum,0.7411390532468151,0.6343253478855633,0.810650357683154
Poa bulbosa,0.9048384732080113,0.8740482108424282,0.9285271464843197
