config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
ground ENS,0.9413184660631478,0.9012935736182076,0.8819125742195927,0.7467060781121192,0.3788774739600929,0.8572714725835571,0.8272012091916922,0.9317339952012639
drone ENS,0.6977020520903894,0.7690815781896448,0.4146161626606784,0.24946680716336286,0.18823964479964655,0.5073328337617241,0.2845855449962009,0.7259988771881363
concat ENS,0.9185338036033485,0.9003082945990616,0.8307143173954804,0.6608122266658876,0.3673190189306506,0.756359765618648,0.7522407078834474,0.9044677967540997
