2026-06-17 12:12:27,955 [INFO] go2_survey.battery.telemetry: SOC  93% | 31.27V | -2.6A (discharging) | batt 32°C | mcu 34°C | cycles 4
2026-06-17 12:12:37,963 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.67V | -7.1A (discharging) | batt 32°C | mcu 34°C | cycles 4
2026-06-17 12:12:47,965 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.62V | -8.6A (discharging) | batt 32°C | mcu 34°C | cycles 4
2026-06-17 12:12:57,967 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.98V | -9.2A (discharging) | batt 32°C | mcu 34°C | cycles 4
2026-06-17 12:13:07,970 [INFO] go2_survey.battery.telemetry: SOC  92% | 31.00V | -8.9A (discharging) | batt 32°C | mcu 34°C | cycles 4
2026-06-17 12:13:17,972 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.98V | -10.6A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:13:27,974 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.79V | -7.2A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:13:37,976 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.74V | -8.0A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:13:47,978 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.94V | -5.9A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:13:57,980 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.75V | -8.1A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:14:08,041 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.84V | -11.2A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:14:18,043 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.84V | -8.8A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:14:28,045 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.60V | -9.2A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:14:38,047 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.70V | -6.5A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:14:48,050 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.46V | -7.7A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:14:58,095 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.77V | -7.4A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:15:08,097 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.56V | -8.1A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:15:18,104 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.69V | -13.1A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:15:28,121 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.66V | -8.8A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:15:38,123 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.53V | -10.4A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:15:48,130 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.30V | -12.4A (discharging) | batt 33°C | mcu 34°C | cycles 4
2026-06-17 12:15:58,132 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.55V | -9.1A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 12:16:08,134 [INFO] go2_survey.battery.telemetry: SOC  86% | 30.20V | -10.5A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 12:16:18,136 [INFO] go2_survey.battery.telemetry: SOC  86% | 30.38V | -7.7A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 12:16:28,140 [INFO] go2_survey.battery.telemetry: SOC  86% | 30.37V | -7.8A (discharging) | batt 33°C | mcu 35°C | cycles 4
