2026-06-18 13:42:46,724 [INFO] go2_survey.battery.telemetry: SOC  84% | 30.49V | -3.7A (discharging) | batt 26°C | mcu 29°C | cycles 4
2026-06-18 13:42:56,729 [INFO] go2_survey.battery.telemetry: SOC  84% | 30.30V | -7.2A (discharging) | batt 26°C | mcu 30°C | cycles 4
2026-06-18 13:43:06,731 [INFO] go2_survey.battery.telemetry: SOC  83% | 30.46V | -5.4A (discharging) | batt 26°C | mcu 30°C | cycles 4
2026-06-18 13:43:16,732 [INFO] go2_survey.battery.telemetry: SOC  83% | 30.37V | -7.9A (discharging) | batt 26°C | mcu 30°C | cycles 4
2026-06-18 13:43:26,735 [INFO] go2_survey.battery.telemetry: SOC  83% | 30.05V | -6.9A (discharging) | batt 26°C | mcu 30°C | cycles 4
2026-06-18 13:43:36,736 [INFO] go2_survey.battery.telemetry: SOC  82% | 30.13V | -9.4A (discharging) | batt 26°C | mcu 30°C | cycles 4
2026-06-18 13:43:46,738 [INFO] go2_survey.battery.telemetry: SOC  82% | 29.99V | -7.6A (discharging) | batt 26°C | mcu 30°C | cycles 4
2026-06-18 13:43:56,740 [INFO] go2_survey.battery.telemetry: SOC  82% | 30.02V | -7.9A (discharging) | batt 26°C | mcu 30°C | cycles 4
2026-06-18 13:44:06,742 [INFO] go2_survey.battery.telemetry: SOC  82% | 29.75V | -7.5A (discharging) | batt 26°C | mcu 30°C | cycles 4
2026-06-18 13:44:16,745 [INFO] go2_survey.battery.telemetry: SOC  81% | 29.71V | -8.9A (discharging) | batt 26°C | mcu 30°C | cycles 4
2026-06-18 13:44:26,783 [INFO] go2_survey.battery.telemetry: SOC  81% | 30.03V | -7.9A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:44:36,784 [INFO] go2_survey.battery.telemetry: SOC  81% | 29.93V | -6.7A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:44:46,785 [INFO] go2_survey.battery.telemetry: SOC  80% | 30.12V | -8.1A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:44:56,786 [INFO] go2_survey.battery.telemetry: SOC  80% | 30.12V | -6.2A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:45:06,840 [INFO] go2_survey.battery.telemetry: SOC  80% | 29.99V | -10.8A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:45:16,841 [INFO] go2_survey.battery.telemetry: SOC  80% | 29.98V | -10.6A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:45:26,843 [INFO] go2_survey.battery.telemetry: SOC  79% | 29.89V | -12.7A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:45:36,844 [INFO] go2_survey.battery.telemetry: SOC  79% | 29.44V | -11.1A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:45:46,846 [INFO] go2_survey.battery.telemetry: SOC  79% | 29.87V | -7.5A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:45:56,847 [INFO] go2_survey.battery.telemetry: SOC  78% | 29.83V | -8.9A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:46:06,850 [INFO] go2_survey.battery.telemetry: SOC  78% | 29.69V | -12.3A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:46:16,852 [INFO] go2_survey.battery.telemetry: SOC  78% | 29.65V | -8.9A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:46:26,854 [INFO] go2_survey.battery.telemetry: SOC  77% | 29.52V | -7.5A (discharging) | batt 27°C | mcu 30°C | cycles 4
2026-06-18 13:46:36,856 [INFO] go2_survey.battery.telemetry: SOC  77% | 29.74V | -8.0A (discharging) | batt 27°C | mcu 30°C | cycles 4
