2026-06-17 14:43:48,327 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.42V | -4.0A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:43:58,333 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.39V | -7.7A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:44:08,337 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.10V | -6.0A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:44:18,340 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.34V | -8.9A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:44:28,342 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.19V | -5.9A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:44:38,344 [INFO] go2_survey.battery.telemetry: SOC  94% | 30.88V | -9.0A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:44:48,351 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.30V | -6.8A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:44:58,354 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.12V | -7.6A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:45:08,356 [INFO] go2_survey.battery.telemetry: SOC  93% | 31.24V | -4.8A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:45:18,439 [INFO] go2_survey.battery.telemetry: SOC  93% | 31.11V | -8.1A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:45:28,441 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.76V | -9.4A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:45:38,444 [INFO] go2_survey.battery.telemetry: SOC  92% | 31.15V | -13.0A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:45:48,446 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.62V | -10.8A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:45:58,448 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.69V | -9.1A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:46:08,451 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.90V | -3.7A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:46:18,454 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.97V | -7.5A (discharging) | batt 33°C | mcu 35°C | cycles 4
2026-06-17 14:46:28,460 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.64V | -5.7A (discharging) | batt 34°C | mcu 35°C | cycles 4
2026-06-17 14:46:38,498 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.79V | -8.0A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:46:48,500 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.96V | -9.2A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:46:58,502 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.26V | -7.3A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:47:08,512 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.67V | -7.5A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:47:18,514 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.83V | -9.6A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:47:28,517 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.86V | -6.0A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:47:38,519 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.36V | -8.8A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:47:48,523 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.80V | -9.9A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:47:58,526 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.41V | -10.8A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:48:08,529 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.72V | -8.2A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:48:18,536 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.67V | -8.4A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:48:28,543 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.79V | -5.0A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:48:38,550 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.77V | -7.4A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:48:48,552 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.74V | -7.7A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:48:58,554 [INFO] go2_survey.battery.telemetry: SOC  86% | 30.25V | -8.5A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:49:08,556 [INFO] go2_survey.battery.telemetry: SOC  86% | 30.56V | -7.0A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:49:18,558 [INFO] go2_survey.battery.telemetry: SOC  86% | 30.61V | -10.4A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:49:28,562 [INFO] go2_survey.battery.telemetry: SOC  85% | 30.49V | -9.5A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:49:38,564 [INFO] go2_survey.battery.telemetry: SOC  85% | 30.58V | -10.5A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:49:48,625 [INFO] go2_survey.battery.telemetry: SOC  85% | 30.32V | -9.0A (discharging) | batt 34°C | mcu 36°C | cycles 4
2026-06-17 14:49:58,627 [INFO] go2_survey.battery.telemetry: SOC  84% | 30.23V | -12.4A (discharging) | batt 35°C | mcu 37°C | cycles 4
2026-06-17 14:50:08,629 [INFO] go2_survey.battery.telemetry: SOC  84% | 30.46V | -11.1A (discharging) | batt 35°C | mcu 37°C | cycles 4
2026-06-17 14:50:18,632 [INFO] go2_survey.battery.telemetry: SOC  84% | 29.84V | -10.0A (discharging) | batt 35°C | mcu 37°C | cycles 4
2026-06-17 14:50:28,648 [INFO] go2_survey.battery.telemetry: SOC  83% | 30.05V | -11.2A (discharging) | batt 35°C | mcu 37°C | cycles 4
2026-06-17 14:50:38,650 [INFO] go2_survey.battery.telemetry: SOC  83% | 30.39V | -6.4A (discharging) | batt 35°C | mcu 37°C | cycles 4
