2026-06-16 16:12:17,495 [INFO] go2_survey.battery.telemetry: SOC  80% | 30.46V | -3.4A (discharging) | batt 34°C | mcu 36°C | cycles 3
2026-06-16 16:12:27,502 [INFO] go2_survey.battery.telemetry: SOC  80% | 30.27V | -8.8A (discharging) | batt 34°C | mcu 36°C | cycles 3
2026-06-16 16:12:37,505 [INFO] go2_survey.battery.telemetry: SOC  79% | 30.32V | -5.6A (discharging) | batt 34°C | mcu 36°C | cycles 3
2026-06-16 16:12:47,507 [INFO] go2_survey.battery.telemetry: SOC  79% | 30.31V | -5.5A (discharging) | batt 34°C | mcu 36°C | cycles 3
2026-06-16 16:12:57,510 [INFO] go2_survey.battery.telemetry: SOC  79% | 30.28V | -4.9A (discharging) | batt 34°C | mcu 37°C | cycles 3
2026-06-16 16:13:07,511 [INFO] go2_survey.battery.telemetry: SOC  79% | 30.19V | -6.4A (discharging) | batt 34°C | mcu 37°C | cycles 3
2026-06-16 16:13:17,513 [INFO] go2_survey.battery.telemetry: SOC  78% | 30.31V | -7.2A (discharging) | batt 34°C | mcu 37°C | cycles 3
2026-06-16 16:13:27,514 [INFO] go2_survey.battery.telemetry: SOC  78% | 29.55V | -4.0A (discharging) | batt 34°C | mcu 37°C | cycles 3
2026-06-16 16:13:37,516 [INFO] go2_survey.battery.telemetry: SOC  78% | 29.97V | -8.4A (discharging) | batt 34°C | mcu 37°C | cycles 3
2026-06-16 16:13:47,518 [INFO] go2_survey.battery.telemetry: SOC  78% | 30.00V | -10.7A (discharging) | batt 34°C | mcu 37°C | cycles 3
2026-06-16 16:13:57,519 [INFO] go2_survey.battery.telemetry: SOC  77% | 29.89V | -10.4A (discharging) | batt 34°C | mcu 37°C | cycles 3
2026-06-16 16:14:07,522 [INFO] go2_survey.battery.telemetry: SOC  77% | 30.03V | -11.4A (discharging) | batt 34°C | mcu 37°C | cycles 3
2026-06-16 16:14:17,524 [INFO] go2_survey.battery.telemetry: SOC  76% | 29.84V | -8.7A (discharging) | batt 34°C | mcu 37°C | cycles 3
2026-06-16 16:14:27,525 [INFO] go2_survey.battery.telemetry: SOC  76% | 30.13V | -10.7A (discharging) | batt 34°C | mcu 37°C | cycles 3
2026-06-16 16:14:37,527 [INFO] go2_survey.battery.telemetry: SOC  76% | 29.89V | -10.2A (discharging) | batt 34°C | mcu 37°C | cycles 3
