2026-06-18 16:55:26,353 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.29V | -2.4A (discharging) | batt 32°C | mcu 36°C | cycles 4
2026-06-18 16:55:36,361 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.08V | -8.6A (discharging) | batt 32°C | mcu 36°C | cycles 4
2026-06-18 16:55:46,363 [INFO] go2_survey.battery.telemetry: SOC  94% | 30.80V | -10.3A (discharging) | batt 32°C | mcu 36°C | cycles 4
2026-06-18 16:55:56,365 [INFO] go2_survey.battery.telemetry: SOC  94% | 30.60V | -12.1A (discharging) | batt 32°C | mcu 36°C | cycles 4
2026-06-18 16:56:06,368 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.77V | -11.4A (discharging) | batt 32°C | mcu 36°C | cycles 4
2026-06-18 16:56:16,370 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.85V | -9.7A (discharging) | batt 32°C | mcu 36°C | cycles 4
2026-06-18 16:56:26,374 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.85V | -9.3A (discharging) | batt 32°C | mcu 37°C | cycles 4
2026-06-18 16:56:36,381 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.86V | -10.2A (discharging) | batt 32°C | mcu 37°C | cycles 4
2026-06-18 16:56:46,384 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.72V | -7.4A (discharging) | batt 32°C | mcu 37°C | cycles 4
2026-06-18 16:56:56,390 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.57V | -9.5A (discharging) | batt 32°C | mcu 37°C | cycles 4
2026-06-18 16:57:06,392 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.46V | -7.7A (discharging) | batt 32°C | mcu 37°C | cycles 4
2026-06-18 16:57:16,394 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.62V | -6.8A (discharging) | batt 32°C | mcu 37°C | cycles 4
2026-06-18 16:57:26,397 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.54V | -8.0A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:57:36,400 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.65V | -8.3A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:57:46,402 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.61V | -9.9A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:57:56,471 [INFO] go2_survey.battery.telemetry: SOC  90% | 30.43V | -7.6A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:58:06,474 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.73V | -9.8A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:58:16,480 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.79V | -7.8A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:58:26,483 [INFO] go2_survey.battery.telemetry: SOC  89% | 30.15V | -10.8A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:58:36,485 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.70V | -2.9A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:58:46,487 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.76V | -2.8A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:58:56,489 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.77V | -2.7A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:59:06,491 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.77V | -2.8A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:59:16,497 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.77V | -2.7A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:59:26,507 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.78V | -2.5A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:59:36,510 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.81V | -2.3A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:59:46,512 [INFO] go2_survey.battery.telemetry: SOC  88% | 30.83V | -2.6A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 16:59:56,514 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.84V | -2.5A (discharging) | batt 33°C | mcu 37°C | cycles 4
2026-06-18 17:00:06,517 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.84V | -2.5A (discharging) | batt 33°C | mcu 38°C | cycles 4
2026-06-18 17:00:16,519 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.82V | -2.8A (discharging) | batt 33°C | mcu 38°C | cycles 4
2026-06-18 17:00:26,521 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.82V | -2.6A (discharging) | batt 33°C | mcu 38°C | cycles 4
2026-06-18 17:00:36,523 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.81V | -2.9A (discharging) | batt 33°C | mcu 38°C | cycles 4
2026-06-18 17:00:46,526 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.45V | -8.7A (discharging) | batt 33°C | mcu 38°C | cycles 4
2026-06-18 17:00:56,528 [INFO] go2_survey.battery.telemetry: SOC  87% | 30.36V | -10.5A (discharging) | batt 33°C | mcu 38°C | cycles 4
