2026-06-16 12:58:17,637 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.35V | -2.9A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 12:58:27,645 [INFO] go2_survey.battery.telemetry: SOC  96% | 30.98V | -9.6A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 12:58:37,648 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.19V | -9.8A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 12:58:47,686 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.08V | -6.8A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 12:58:57,688 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.18V | -8.1A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 12:59:07,690 [INFO] go2_survey.battery.telemetry: SOC  95% | 30.91V | -6.6A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 12:59:17,691 [INFO] go2_survey.battery.telemetry: SOC  95% | 30.88V | -9.7A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 12:59:27,693 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.01V | -7.9A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 12:59:37,695 [INFO] go2_survey.battery.telemetry: SOC  95% | 30.85V | -7.5A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 12:59:47,699 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.16V | -8.3A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 12:59:57,700 [INFO] go2_survey.battery.telemetry: SOC  95% | 30.97V | -8.4A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 13:00:07,702 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.05V | -7.6A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 13:00:17,704 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.08V | -9.2A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 13:00:27,705 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.08V | -8.8A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 13:00:37,707 [INFO] go2_survey.battery.telemetry: SOC  94% | 30.74V | -9.9A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 13:00:47,712 [INFO] go2_survey.battery.telemetry: SOC  94% | 30.93V | -10.4A (discharging) | batt 29°C | mcu 34°C | cycles 2
2026-06-16 13:00:57,713 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.75V | -6.1A (discharging) | batt 29°C | mcu 35°C | cycles 2
2026-06-16 13:01:07,715 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.83V | -11.5A (discharging) | batt 29°C | mcu 35°C | cycles 2
2026-06-16 13:01:17,716 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.93V | -11.6A (discharging) | batt 29°C | mcu 35°C | cycles 2
2026-06-16 13:01:27,717 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.87V | -9.1A (discharging) | batt 29°C | mcu 35°C | cycles 2
