2026-06-17 10:49:33,504 [INFO] go2_survey.battery.telemetry: SOC  65% | 29.28V | -3.3A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:49:43,511 [INFO] go2_survey.battery.telemetry: SOC  64% | 29.15V | -9.3A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:49:53,515 [INFO] go2_survey.battery.telemetry: SOC  64% | 28.99V | -10.9A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:50:03,517 [INFO] go2_survey.battery.telemetry: SOC  63% | 28.42V | -11.9A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:50:13,520 [INFO] go2_survey.battery.telemetry: SOC  63% | 28.87V | -11.8A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:50:23,523 [INFO] go2_survey.battery.telemetry: SOC  62% | 28.82V | -8.5A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:50:33,525 [INFO] go2_survey.battery.telemetry: SOC  62% | 28.92V | -11.9A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:50:43,528 [INFO] go2_survey.battery.telemetry: SOC  62% | 28.78V | -12.6A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:50:53,531 [INFO] go2_survey.battery.telemetry: SOC  61% | 28.15V | -10.6A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:51:03,533 [INFO] go2_survey.battery.telemetry: SOC  61% | 28.92V | -5.5A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:51:13,535 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.87V | -8.9A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:51:23,537 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.67V | -7.6A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:51:33,539 [INFO] go2_survey.battery.telemetry: SOC  60% | 28.49V | -9.1A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:51:43,541 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.71V | -8.1A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:51:53,544 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.34V | -8.4A (discharging) | batt 30°C | mcu 32°C | cycles 4
2026-06-17 10:52:03,546 [INFO] go2_survey.battery.telemetry: SOC  59% | 28.74V | -9.2A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:52:13,548 [INFO] go2_survey.battery.telemetry: SOC  58% | 28.43V | -8.7A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:52:23,550 [INFO] go2_survey.battery.telemetry: SOC  58% | 28.66V | -5.3A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:52:33,553 [INFO] go2_survey.battery.telemetry: SOC  58% | 28.48V | -8.5A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:52:43,555 [INFO] go2_survey.battery.telemetry: SOC  57% | 28.27V | -9.8A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:52:53,558 [INFO] go2_survey.battery.telemetry: SOC  57% | 28.03V | -9.6A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:53:03,560 [INFO] go2_survey.battery.telemetry: SOC  57% | 27.80V | -7.0A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:53:13,562 [INFO] go2_survey.battery.telemetry: SOC  56% | 28.25V | -9.7A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:53:23,564 [INFO] go2_survey.battery.telemetry: SOC  56% | 28.48V | -12.1A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:53:33,567 [INFO] go2_survey.battery.telemetry: SOC  55% | 27.96V | -10.4A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:53:43,569 [INFO] go2_survey.battery.telemetry: SOC  55% | 28.48V | -6.3A (discharging) | batt 30°C | mcu 33°C | cycles 4
2026-06-17 10:53:53,570 [INFO] go2_survey.battery.telemetry: SOC  55% | 28.44V | -9.0A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:54:03,573 [INFO] go2_survey.battery.telemetry: SOC  54% | 28.36V | -5.3A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:54:13,575 [INFO] go2_survey.battery.telemetry: SOC  54% | 28.32V | -8.3A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:54:23,577 [INFO] go2_survey.battery.telemetry: SOC  54% | 28.32V | -9.5A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:54:33,579 [INFO] go2_survey.battery.telemetry: SOC  54% | 28.21V | -6.5A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:54:43,582 [INFO] go2_survey.battery.telemetry: SOC  53% | 28.56V | -8.5A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:54:53,583 [INFO] go2_survey.battery.telemetry: SOC  53% | 28.08V | -8.3A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:55:03,590 [INFO] go2_survey.battery.telemetry: SOC  53% | 28.44V | -8.5A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:55:13,598 [INFO] go2_survey.battery.telemetry: SOC  52% | 28.45V | -8.4A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:55:23,600 [INFO] go2_survey.battery.telemetry: SOC  52% | 28.12V | -11.2A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:55:33,602 [INFO] go2_survey.battery.telemetry: SOC  52% | 27.82V | -5.2A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:55:43,610 [INFO] go2_survey.battery.telemetry: SOC  51% | 27.81V | -10.2A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:55:53,613 [INFO] go2_survey.battery.telemetry: SOC  51% | 28.10V | -10.0A (discharging) | batt 31°C | mcu 33°C | cycles 4
2026-06-17 10:56:03,616 [INFO] go2_survey.battery.telemetry: SOC  50% | 27.76V | -9.6A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-17 10:56:13,617 [INFO] go2_survey.battery.telemetry: SOC  50% | 28.13V | -10.8A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-17 10:56:23,619 [INFO] go2_survey.battery.telemetry: SOC  49% | 28.24V | -9.4A (discharging) | batt 31°C | mcu 34°C | cycles 4
2026-06-17 10:56:33,621 [INFO] go2_survey.battery.telemetry: SOC  49% | 27.95V | -9.7A (discharging) | batt 31°C | mcu 34°C | cycles 4
