2026-06-16 15:52:30,222 [INFO] go2_survey.battery.telemetry: SOC  98% | 31.66V | -2.6A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:52:40,229 [INFO] go2_survey.battery.telemetry: SOC  97% | 31.52V | -6.2A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:52:50,232 [INFO] go2_survey.battery.telemetry: SOC  97% | 31.50V | -6.2A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:53:00,234 [INFO] go2_survey.battery.telemetry: SOC  97% | 31.42V | -7.2A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:53:10,236 [INFO] go2_survey.battery.telemetry: SOC  97% | 31.47V | -5.5A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:53:20,243 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.37V | -6.1A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:53:30,246 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.32V | -6.1A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:53:40,248 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.34V | -5.1A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:53:50,252 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.06V | -8.6A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:54:00,256 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.12V | -7.4A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:54:10,264 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.09V | -7.9A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:54:20,267 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.27V | -7.6A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:54:30,269 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.30V | -5.0A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:54:40,271 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.29V | -7.7A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:54:50,273 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.04V | -7.6A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:55:00,275 [INFO] go2_survey.battery.telemetry: SOC  93% | 31.00V | -7.8A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:55:10,276 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.97V | -7.4A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:55:20,282 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.70V | -7.5A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:55:30,284 [INFO] go2_survey.battery.telemetry: SOC  93% | 31.01V | -9.9A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:55:40,285 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.87V | -8.5A (discharging) | batt 32°C | mcu 35°C | cycles 3
2026-06-16 15:55:50,288 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.96V | -9.4A (discharging) | batt 32°C | mcu 36°C | cycles 3
2026-06-16 15:56:00,290 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.79V | -8.0A (discharging) | batt 32°C | mcu 36°C | cycles 3
2026-06-16 15:56:10,294 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.92V | -8.0A (discharging) | batt 32°C | mcu 36°C | cycles 3
2026-06-16 15:56:20,296 [INFO] go2_survey.battery.telemetry: SOC  91% | 30.78V | -5.5A (discharging) | batt 32°C | mcu 36°C | cycles 3
2026-06-16 15:56:30,297 [INFO] go2_survey.battery.telemetry: SOC  91% | 31.07V | -3.8A (discharging) | batt 32°C | mcu 36°C | cycles 3
2026-06-16 15:56:40,300 [INFO] go2_survey.battery.telemetry: SOC  91% | 31.08V | -3.4A (discharging) | batt 32°C | mcu 36°C | cycles 3
2026-06-16 15:56:50,302 [INFO] go2_survey.battery.telemetry: SOC  90% | 31.08V | -3.5A (discharging) | batt 32°C | mcu 36°C | cycles 3
2026-06-16 15:57:00,304 [INFO] go2_survey.battery.telemetry: SOC  90% | 31.08V | -3.4A (discharging) | batt 32°C | mcu 36°C | cycles 3
2026-06-16 15:57:10,306 [INFO] go2_survey.battery.telemetry: SOC  90% | 31.09V | -3.3A (discharging) | batt 33°C | mcu 36°C | cycles 3
2026-06-16 15:57:20,308 [INFO] go2_survey.battery.telemetry: SOC  90% | 31.09V | -3.1A (discharging) | batt 33°C | mcu 36°C | cycles 3
