2026-06-16 15:06:34,678 [INFO] go2_survey.battery.telemetry: SOC  97% | 31.31V | -4.3A (discharging) | batt 36°C | mcu 37°C | cycles 4
2026-06-16 15:06:44,683 [INFO] go2_survey.battery.telemetry: SOC  97% | 31.10V | -8.6A (discharging) | batt 36°C | mcu 37°C | cycles 4
2026-06-16 15:06:54,685 [INFO] go2_survey.battery.telemetry: SOC  97% | 31.18V | -4.7A (discharging) | batt 36°C | mcu 37°C | cycles 4
2026-06-16 15:07:04,686 [INFO] go2_survey.battery.telemetry: SOC  96% | 30.88V | -7.5A (discharging) | batt 36°C | mcu 37°C | cycles 4
2026-06-16 15:07:14,689 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.06V | -9.6A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:07:24,694 [INFO] go2_survey.battery.telemetry: SOC  96% | 31.20V | -6.3A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:07:34,696 [INFO] go2_survey.battery.telemetry: SOC  96% | 30.91V | -10.6A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:07:44,734 [INFO] go2_survey.battery.telemetry: SOC  95% | 30.96V | -7.1A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:07:54,735 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.00V | -6.0A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:08:04,737 [INFO] go2_survey.battery.telemetry: SOC  95% | 31.08V | -8.7A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:08:14,739 [INFO] go2_survey.battery.telemetry: SOC  95% | 30.68V | -8.3A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:08:24,740 [INFO] go2_survey.battery.telemetry: SOC  94% | 30.99V | -8.4A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:08:34,742 [INFO] go2_survey.battery.telemetry: SOC  94% | 30.74V | -8.1A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:08:44,744 [INFO] go2_survey.battery.telemetry: SOC  94% | 31.03V | -7.7A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:08:54,745 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.36V | -7.8A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:09:04,748 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.93V | -6.7A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:09:14,750 [INFO] go2_survey.battery.telemetry: SOC  93% | 30.92V | -8.4A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:09:24,752 [INFO] go2_survey.battery.telemetry: SOC  93% | 31.00V | -6.4A (discharging) | batt 36°C | mcu 38°C | cycles 4
2026-06-16 15:09:34,758 [INFO] go2_survey.battery.telemetry: SOC  92% | 30.88V | -8.4A (discharging) | batt 36°C | mcu 38°C | cycles 4
